SYMBOL,NAME OF COMPANY,SECTOR
SJVN,SJVN Limited,Diversified / Industrial
SKFINDIA,SKF India Limited,Diversified / Industrial
SKFINDUS,SKF India (Industrial) Limited,Diversified / Industrial
SKIPPER,Skipper Limited,Diversified / Industrial
SKMEGGPROD,SKM Egg Products Export (India) Limited,Diversified / Industrial
SKYGOLD,SKY GOLD AND DIAMONDS LIMITED,Diversified / Industrial
SMARTLINK,Smartlink Holdings Limited,Retail
SMARTWORKS,Smartworks Coworking Spaces Limited,Retail
SMCGLOBAL,SMC Global Securities Limited,Financial Services
SMLMAH,SML Mahindra Limited,Diversified / Industrial
SMLT,Sarthak Metals Limited,Metals & Mining
SMSPHARMA,SMS Pharmaceuticals Limited,Pharmaceuticals
SNOWMAN,Snowman Logistics Limited,Logistics
SOBHA,Sobha Limited,Diversified / Industrial
SOFTTECH,Softtech Engineers Limited,Information Technology
SOLARA,Solara Active Pharma Sciences Limited,Pharmaceuticals
SOLARINDS,Solar Industries India Limited,Diversified / Industrial
SOLARWORLD,Solarworld Energy Solutions Limited,Power & Energy
SOLEX,Solex Energy Limited,Power & Energy
SOMANYCERA,Somany Ceramics Limited,Diversified / Industrial
SOMATEX,Soma Textiles & Industries Limited,Textiles
SOMICONVEY,Somi Conveyor Beltings Limited,Diversified / Industrial
SONACOMS,Sona BLW Precision Forgings Limited,Diversified / Industrial
SONAMLTD,SONAM LIMITED,Diversified / Industrial
SONATSOFTW,Sonata Software Limited,Information Technology
SOTL,Savita Oil Technologies Limited,Information Technology
SOUTHBANK,The South Indian Bank Limited,Banking
SOUTHWEST,South West Pinnacle Exploration Limited,Diversified / Industrial
SPAL,S. P. Apparels Limited,Textiles
SPANDANA,Spandana Sphoorty Financial Limited,Diversified / Industrial
SPARC,Sun Pharma Advanced Research Company Limited,Pharmaceuticals
SPCENET,Spacenet Enterprises India Limited,Diversified / Industrial
SPECIALITY,Speciality Restaurants Limited,Hospitality
SPECTRUM,Spectrum Electrical Industries Limited,Diversified / Industrial
SPENCERS,Spencer's Retail Limited,Retail
SPIC,Southern Petrochemicals Industries Corporation  Limited,Chemicals
SPLIL,SPL Industries Limited,Diversified / Industrial
SPLPETRO,Supreme Petrochem Limited,Chemicals
SPMLINFRA,SPML Infra Limited,Infrastructure
SPORTKING,Sportking India Limited,Diversified / Industrial
SRD,Shankar Lal Rampal Dye-Chem Limited,Diversified / Industrial
SREEL,Sreeleathers Limited,Diversified / Industrial
SRF,SRF Limited,Diversified / Industrial
SRGHFL,SRG Housing Finance Limited,Financial Services
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,Diversified / Industrial
SRM,SRM Contractors Limited,Diversified / Industrial
SSDL,Saraswati Saree Depot Limited,Diversified / Industrial
SSWL,Steel Strips Wheels Limited,Metals & Mining
STALLION,Stallion India Fluorochemicals Limited,Chemicals
STANLEY,Stanley Lifestyles Limited,Insurance
STAR,Strides Pharma Science Limited,Pharmaceuticals
STARCEMENT,Star Cement Limited,Cement
STARHEALTH,Star Health and Allied Insurance Company Limited,Insurance
STARPAPER,Star Paper Mills Limited,Diversified / Industrial
STARTECK,Starteck Finance Limited,Financial Services
STCINDIA,The State Trading Corporation of India Limited,Diversified / Industrial
STEELCAS,Steelcast Limited,Metals & Mining
STEELCITY,Steel City Securities Limited,Financial Services
STEELXIND,STEEL EXCHANGE INDIA LIMITED,Metals & Mining
STEL,Stel Holdings Limited,Diversified / Industrial
STERTOOLS,Sterling Tools Limited,Diversified / Industrial
STLNETWORK,STL Networks Limited,Media & Entertainment
STLTECH,Sterlite Technologies Limited,Information Technology
STOVEKRAFT,Stove Kraft Limited,Diversified / Industrial
STUDDS,Studds Accessories Limited,Diversified / Industrial
STYL,Seshaasai Technologies Limited,Information Technology
STYLAMIND,Stylam Industries Limited,Building Materials (Laminates)
STYLEBAAZA,Baazar Style Retail Limited,Retail (Apparel)
STYRENIX,Styrenix Performance Materials Limited,Chemicals
SUBEXLTD,Subex Limited,IT Software / Telecom
SUBROS,Subros Limited,Auto Ancillaries (Air Conditioning)
SUDARCOLOR,Sudarshan Colorants India Limited,Chemicals (Pigments)
SUDARSCHEM,Sudarshan Chemical Industries Limited,Chemicals
SUDEEPPHRM,Sudeep Pharma Limited,Pharmaceuticals
SUKHJITS,Sukhjit Starch & Chemicals Limited,FMCG / Food Processing
SULA,Sula Vineyards Limited,Beverages (Alcoholic)
SUMEETINDS,Sumeet Industries Limited,Textiles
SUMICHEM,Sumitomo Chemical India Limited,Agro Chemicals
SUMIT,Sumit Woods Limited,Real Estate
SUMMITSEC,Summit Securities Limited,Finance / Investments
SUNCLAY,Sundaram Clayton Limited,Auto Ancillaries
SUNDARAM,Sundaram Multi Pap Limited,Paper / Stationery
SUNDARMFIN,Sundaram Finance Limited,NBFC (Finance)
SUNDRMBRAK,Sundaram Brake Linings Limited,Auto Ancillaries
SUNDRMFAST,Sundram Fasteners Limited,Auto Ancillaries
SUNDROP,Sundrop Brands Limited,FMCG (Food)
SUNFLAG,Sunflag Iron And Steel Company Limited,Iron & Steel
SUNPHARMA,Sun Pharmaceutical Industries Limited,Pharmaceuticals
SUNTECK,Sunteck Realty Limited,Real Estate
SUNTV,Sun TV Network Limited,Media & Entertainment
SUPERHOUSE,Superhouse Limited,Leather / Footwear
SUPERSPIN,Super Spinning Mills Limited,Textiles
SUPRAJIT,Suprajit Engineering Limited,Auto Ancillaries
SUPREME,Supreme Holdings & Hospitality (India) Limited,Hospitality / Real Estate
SUPREMEENG,Supreme Engineering Limited,Engineering / Steel
SUPREMEIND,Supreme Industries Limited,Plastic Products
SUPREMEINF,Supreme Infrastructure India Limited,Infrastructure
SUPRIYA,Supriya Lifescience Limited,Pharmaceuticals (API)
SURAJEST,Suraj Estate Developers Limited,Real Estate
SURAJLTD,Suraj Limited,Steel / Pipes
SURAKSHA,Suraksha Diagnostic Limited,Healthcare (Diagnostics)
SURANASOL,Surana Solar Limited,Renewable Energy
SURANAT&P,Surana Telecom and Power Limited,Telecom / Power
SURYALAXMI,Suryalakshmi Cotton Mills Limited,Textiles
SURYAROSNI,Surya Roshni Limited,Consumer Durables (Lighting/Steel)
SURYODAY,Suryoday Small Finance Bank Limited,Banking
SUTLEJTEX,Sutlej Textiles and Industries Limited,Textiles
SUVEN,Suven Life Sciences Limited,Pharmaceuticals
SUVIDHAA,Suvidhaa Infoserve Limited,FinTech / Services
SUYOG,Suyog Telematics Limited,Telecom Infrastructure
SUZLON,Suzlon Energy Limited,Renewable Energy (Wind)
SVLL,Shree Vasu Logistics Limited,Logistics
SVPGLOB,SVP GLOBAL TEXTILES LIMITED,Textiles
SWANCORP,SWAN CORP LIMITED,Energy / Textiles / Infrastructure
SWARAJENG,Swaraj Engines Limited,Engineering (Engines)
SWELECTES,Swelect Energy Systems Limited,Renewable Energy (Solar)
SWIGGY,Swiggy Limited,E-commerce / Delivery
SWSOLAR,Sterling and Wilson Renewable Energy Limited,Engineering (Solar EPC)
SYMPHONY,Symphony Limited,Consumer Durables (Air Coolers)
SYNCOMF,Syncom Formulations (India) Limited,Pharmaceuticals
SYNGENE,Syngene International Limited,Pharma / Research Services
SYRMA,Syrma SGS Technology Limited,Electronics Manufacturing (EMS)
SYSTMTXC,Systematix Corporate Services Limited,Finance / Broking
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,Plastic Products
TAJGVK,Taj GVK Hotels & Resorts Limited,Hospitality (Hotels)
TAKE,Take Solutions Limited,IT / Life Sciences
TALBROAUTO,Talbros Automotive Components Limited,Auto Ancillaries
TANLA,Tanla Platforms Limited,IT Software / CPaaS
TARACHAND,Tara Chand InfraLogistic Solutions Limited,Logistics & Infrastructure
TARAPUR,Tarapur Transformers Limited,Capital Goods (Electricals)
TARC,TARC Limited,Real Estate
TARIL,Transformers And Rectifiers (India) Limited,Capital Goods (Electricals)
TARMAT,Tarmat Limited,Construction / Infrastructure
TARSONS,Tarsons Products Limited,Healthcare (Labware)
TASTYBITE,Tasty Bite Eatables Limited,FMCG (Food Processing)
TATACAP,Tata Capital Limited,Finance (NBFC)
TATACHEM,Tata Chemicals Limited,Chemicals
TATACOMM,Tata Communications Limited,Telecommunications
TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,FMCG (Beverages/Foods)
TATAELXSI,Tata Elxsi Limited,IT / Engineering Design
TATAINVEST,Tata Investment Corporation Limited,Finance / Investments
TATAPOWER,Tata Power Company Limited,Power Generation / Utilities
TATASTEEL,Tata Steel Limited,Iron & Steel
TATATECH,Tata Technologies Limited,IT / Engineering Services
TATVA,Tatva Chintan Pharma Chem Limited,Chemicals (Specialty)
TBOTEK,TBO Tek Limited,Travel & Tourism (Tech)
TBZ,Tribhovandas Bhimji Zaveri Limited,Gems & Jewellery
TCI,Transport Corporation of India Limited,Logistics
TCIEXP,TCI Express Limited,Logistics (Express Cargo)
TCIFINANCE,TCI Finance Limited,Finance / NBFC
TCPLPACK,TCPL Packaging Limited,Packaging
TCS,Tata Consultancy Services Limited,IT Software / Services
TDPOWERSYS,TD Power Systems Limited,Capital Goods (Generators)
TEAMGTY,Team India Guaranty Limited,Finance / Services
TEAMLEASE,Teamlease Services Limited,HR Services / Staffing
TECHM,Tech Mahindra Limited,IT Software / Services
TECHNOE,Techno Electric & Engineering Company Limited,Power Infrastructure
TECILCHEM,TECIL Chemicals and Hydro Power Limited,Chemicals
TEGA,Tega Industries Limited,Engineering / Mining Equipment
TEJASNET,Tejas Networks Limited,Telecom Equipment
TEMBO,Tembo Global Industries Limited,Engineering / Piping
TENNIND,Tenneco Clean Air India Limited,Auto Ancillaries
TERASOFT,Tera Software Limited,IT Software / Services
TEXINFRA,Texmaco Infrastructure & Holdings Limited,Real Estate / Diversified
TEXMOPIPES,Texmo Pipes and Products Limited,Plastic Products (Pipes)
TEXRAIL,Texmaco Rail & Engineering Limited,Engineering / Railways
TFCILTD,Tourism Finance Corporation of India Limited,Finance (Tourism)
TFL,Transwarranty Finance Limited,Finance / Investment Banking
TGBHOTELS,TGB Banquets And Hotels Limited,Hospitality (Hotels/Resorts)
THANGAMAYL,Thangamayil Jewellery Limited,Gems & Jewellery
THEINVEST,The Investment Trust Of India Limited,Finance / Investments
THEJO,Thejo Engineering Limited,Engineering Services
THELEELA,Leela Palaces Hotels & Resorts Limited,Hospitality (Hotels)
THEMISMED,Themis Medicare Limited,Pharmaceuticals
THERMAX,Thermax Limited,Engineering / Energy
THOMASCOOK,Thomas Cook  (India)  Limited,Travel & Tourism
THOMASCOTT,Thomas Scott (India) Limited,Textiles / Apparel
THYROCARE,Thyrocare Technologies Limited,Healthcare (Diagnostics)
TI,Tilaknagar Industries Limited,Beverages (Alcoholic)
TICL,Twamev Construction and Infrastructure Limited,Infrastructure
TIGERLOGS,Tiger Logistics (India) Limited,Logistics
TIIL,Technocraft Industries (India) Limited,Engineering / Textiles
TIINDIA,Tube Investments of India Limited,Engineering / Auto Components
TIJARIA,Tijaria Polypipes Limited,Plastic Products (Pipes)
TIL,TIL Limited,Engineering / Material Handling
TIMETECHNO,Time Technoplast Limited,Plastic Products (Industrial)
TIMKEN,Timken India Limited,Capital Goods
TINNARUBR,Tinna Rubber and Infrastructure Limited,Chemicals
TIPSFILMS,Tips Films Limited,Media & Entertainment
TIPSMUSIC,Tips Music Limited,Media & Entertainment
TIRUMALCHM,Thirumalai Chemicals Limited,Chemicals
TIRUPATIFL,Tirupati Forge Limited,Capital Goods
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Capital Goods
TITAN,Titan Company Limited,Consumer Durables
TMB,Tamilnad Mercantile Bank Limited,Financial Services
TMCV,Tata Motors Limited,Automobile
TMPV,Tata Motors Passenger Vehicles Limited,Automobile
TNPETRO,Tamilnadu PetroProducts Limited,Chemicals
TNPL,Tamil Nadu Newsprint & Papers Limited,Paper
TNTELE,Tamilnadu Telecommunication Limited,Telecommunication
TOKYOPLAST,Tokyo Plast International Limited,Plastics Products
TOLINS,Tolins Tyres Limited,Automobile
TORNTPHARM,Torrent Pharmaceuticals Limited,Healthcare
TORNTPOWER,Torrent Power Limited,Power
TOTAL,Total Transport Systems Limited,Logistics
TOUCHWOOD,Touchwood Entertainment Limited,Media & Entertainment
TPHQ,Teamo Productions HQ Limited,Media & Entertainment
TPLPLASTEH,TPL Plastech Limited,Packaging
TRACXN,Tracxn Technologies Limited,Information Technology
TRANSRAILL,Transrail Lighting Limited,Capital Goods
TRANSWORLD,TRANSWORLD SHIPPING LINES LIMITED,Logistics
TRAVELFOOD,Travel Food Services Limited,Consumer Services
TREEHOUSE,Tree House Education & Accessories Limited,Consumer Services
TREJHARA,TREJHARA SOLUTIONS LIMITED,Information Technology
TREL,Transindia Real Estate Limited,Realty
TRENT,Trent Limited,Retail
TRF,TRF Limited,Capital Goods
TRIDENT,Trident Limited,Textiles
TRIGYN,Trigyn Technologies Limited,Information Technology
TRITURBINE,Triveni Turbine Limited,Capital Goods
TRIVENI,Triveni Engineering & Industries Limited,Capital Goods
TRU,TruCap Finance Limited,Financial Services
TRUALT,TruAlt Bioenergy Limited,Power
TSFINV,TSF INVESTMENTS LIMITED,Financial Services
TTKHLTCARE,TTK Healthcare Limited,Healthcare
TTKPRESTIG,TTK Prestige Limited,Consumer Durables
TTL,T T Limited,Textiles
TTML,Tata Teleservices (Maharashtra) Limited,Telecommunication
TVSELECT,TVS Electronics Limited,Information Technology
TVSHLTD,TVS Holdings Limited,Financial Services
TVSMOTOR,TVS Motor Company Limited,Automobile
TVSSCS,TVS Supply Chain Solutions Limited,Logistics
TVSSRICHAK,TVS Srichakra Limited,Automobile
TVTODAY,TV Today Network Limited,Media & Entertainment
TVVISION,TV Vision Limited,Media & Entertainment
UBL,United Breweries Limited,Consumer Staples
UCAL,UCAL LIMITED,Auto Components
UCOBANK,UCO Bank,Financial Services
UDS,Updater Services Limited,Commercial Services
UEL,Ujaas Energy Limited,Power
UFBL,United Foodbrands Limited,Consumer Services
UFLEX,UFLEX Limited,Packaging
UFO,UFO Moviez India Limited,Media & Entertainment
UGARSUGAR,The Ugar Sugar Works Limited,Food Products
UGROCAP,Ugro Capital Limited,Financial Services
UJJIVANSFB,Ujjivan Small Finance Bank Limited,Financial Services
ULTRACEMCO,UltraTech Cement Limited,Cement & Cement Products
UMAEXPORTS,Uma Exports Limited,Trading
UMESLTD,Usha Martin Education & Solutions Limited,Consumer Services
UMIYA-MRO,UMIYA BUILDCON LIMITED,Construction
UNICHEMLAB,Unichem Laboratories Limited,Healthcare
UNIDT,United Drilling Tools Limited,Oil & Gas
UNIECOM,Unicommerce Esolutions Limited,Information Technology
UNIENTER,Uniphos Enterprises Limited,Chemicals
UNIINFO,Uniinfo Telecom Services Limited,Information Technology
UNIMECH,Unimech Aerospace and Manufacturing Limited,Aerospace & Defense
UNIONBANK,Union Bank of India,Financial Services
UNIPARTS,Uniparts India Limited,Auto Components
UNITDSPR,United Spirits Limited,Consumer Staples
UNITECH,Unitech Limited,Realty
UNITEDPOLY,United Polyfab Gujarat Limited,Textiles
UNITEDTEA,The United Nilgiri Tea Estates Company Limited,Plantation
UNIVASTU,Univastu India Limited,Construction
UNIVCABLES,Universal Cables Limited,Capital Goods
UNIVPHOTO,Universus Photo Imagings Limited,Commercial Services
UNOMINDA,UNO Minda Limited,Auto Components
UPL,UPL Limited,Agrochemicals
URAVIDEF,Uravi Defence and Technology Limited,Auto Components & Lighting
URBANCO,Urban Company Limited,Home & Beauty Services Marketplace
URJA,Urja Global Limited,Renewable Energy (Solar)
USHAMART,Usha Martin Limited,Steel & Wire Ropes
USK,Udayshivakumar Infra Limited,Civil Construction & Infrastructure
UTIAMC,UTI Asset Management Company Limited,Financial Services (Mutual Funds)
UTKARSHBNK,Utkarsh Small Finance Bank Limited,Banking & Financial Services
UTLSOLAR,Fujiyama Power Systems Limited,Solar Energy & Batteries
UTTAMSUGAR,Uttam Sugar Mills Limited,Sugar & Ethanol
UYFINCORP,U. Y. Fincorp Limited,Finance & Investments (NBFC)
V2RETAIL,V2 Retail Limited,Fashion Retail
VADILALIND,Vadilal Industries Limited,Food Processing (Ice-cream)
VAIBHAVGBL,Vaibhav Global Limited,E-commerce & Fashion Jewelry
VAISHALI,Vaishali Pharma Limited,Pharmaceuticals
VAKRANGEE,Vakrangee Limited,BPO & IT-enabled Services
VALIANTLAB,Valiant Laboratories Limited,Pharmaceuticals (Bulk Drugs)
VALIANTORG,Valiant Organics Limited,Specialty Chemicals
VARDHACRLC,Vardhman Acrylics Limited,Textiles (Acrylic Yarn)
VARDMNPOLY,Vardhman Polytex Limited,Textiles (Yarn)
VARROC,Varroc Engineering Limited,Auto Components
VASCONEQ,Vascon Engineers Limited,Real Estate & Construction
VASWANI,Vaswani Industries Limited,Iron & Steel
VBL,Varun Beverages Limited,Beverages (FMCG)
VCL,Vaxtex Cotfab Limited,Textiles
VEDL,Vedanta Limited,Mining & Metals
VEEDOL,Veedol Corporation Limited,Lubricants
VENKEYS,Venky's (India) Limited,Poultry & Agribusiness
VENTIVE,Ventive Hospitality Limited,Hospitality & Real Estate
VENUSPIPES,Venus Pipes & Tubes Limited,Industrial Equipment (Pipes)
VENUSREM,Venus Remedies Limited,Pharmaceuticals
VERANDA,Veranda Learning Solutions Limited,EdTech
VERTOZ,Vertoz Limited,AdTech / Digital Advertising
VESUVIUS,Vesuvius India Limited,Refractories (Manufacturing)
VETO,Veto Switchgears And Cables Limited,Electrical Equipment
VGL,VARVEE GLOBAL LIMITED,Textiles (Denim)
VGUARD,V-Guard Industries Limited,Consumer Electricals
VHL,Vardhman Holdings Limited,Investments
VHLTD,Viceroy Hotels Limited,Hospitality
VIDHIING,Vidhi Specialty Food Ingredients Limited,Chemicals (Food Colors)
VIDYAWIRES,Vidya Wires Limited,Electrical Components
VIJAYA,Vijaya Diagnostic Centre Limited,Healthcare (Diagnostics)
VIJIFIN,Viji Finance Limited,Financial Services
VIKASECO,Vikas EcoTech Limited,Specialty Chemicals
VIKASLIFE,Vikas Lifecare Limited,Polymers & Chemicals
VIKRAMSOLR,Vikram Solar Limited,Renewable Energy (Solar)
VIKRAN,Vikran Engineering Limited,Engineering & Construction
VIMTALABS,Vimta Labs Limited,Healthcare (Testing Services)
VINATIORGA,Vinati Organics Limited,Specialty Chemicals
VINCOFE,Vintage Coffee And Beverages Limited,Beverages (Coffee)
VINDHYATEL,Vindhya Telelinks Limited,Telecom Cables
VINEETLAB,Vineet Laboratories Limited,Pharmaceuticals
VINNY,Vinny Overseas Limited,Textiles
VINYLINDIA,Vinyl Chemicals (India) Limited,Chemicals
VIPCLOTHNG,VIP Clothing Limited,Apparel (Innerwear)
VIPIND,VIP Industries Limited,Luggage & Travel Accessories
VIPULLTD,Vipul Limited,Real Estate
VIRINCHI,Virinchi Limited,IT Software & Healthcare
VISAKAIND,Visaka Industries Limited,Building Materials
VISASTEEL,Visa Steel Limited,Iron & Steel
VISHNU,Vishnu Chemicals Limited,Specialty Chemicals
VISHWARAJ,Vishwaraj Sugar Industries Limited,Sugar & Ethanol
VIVIDHA,Visagar Polytex Limited,Textiles (Sarees & Fabrics)
VIVIMEDLAB,Vivimed Labs Limited,Pharmaceuticals & Specialty Chemicals
VIYASH,Viyash Scientific Limited,Pharmaceuticals (APIs)
VLEGOV,VL E-Governance & IT Solutions Limited,IT Services & E-Governance
VLSFINANCE,VLS Finance Limited,Financial Services (Investments)
VMART,V-Mart Retail Limited,Retail (Fashion)
VMM,Vishal Mega Mart Limited,Retail (General Merchandise)
VMSTMT,VMS TMT Limited,Iron & Steel (TMT Bars)
VOLTAMP,Voltamp Transformers Limited,Electrical Equipment (Transformers)
VOLTAS,Voltas Limited,Consumer Durables (ACs & Engineering)
VPRPL,Vishnu Prakash R Punglia Limited,Infrastructure & Construction
VRAJ,Vraj Iron and Steel Limited,Iron & Steel
VRLLOG,VRL Logistics Limited,Logistics & Transportation
VSSL,Vardhman Special Steels Limited,Iron & Steel
VSTIND,VST Industries Limited,FMCG (Cigarettes & Tobacco)
VSTL,Vibhor Steel Tubes Limited,Steel Pipes & Tubes
VSTTILLERS,V.S.T Tillers Tractors Limited,Automobile (Tractors & Tillers)
VTL,Vardhman Textiles Limited,Textiles
WAAREEENER,Waaree Energies Limited,Renewable Energy (Solar Panels)
WAAREEINDO,Indosolar Limited,Renewable Energy (Solar Cells)
WAAREERTL,Waaree Renewable Technologies Limited,Renewable Energy (Solar EPC)
WABAG,VA Tech Wabag Limited,Water Treatment & Engineering
WAKEFIT,Wakefit Innovations Limited,Consumer Durables (Furniture & Mattress)
WALCHANNAG,Walchandnagar Industries Limited,Heavy Engineering
WANBURY,Wanbury Limited,Pharmaceuticals
WCIL,Western Carriers (India) Limited,Logistics
WEALTH,Wealth First Portfolio Managers Limited,Financial Services
WEBELSOLAR,Websol Energy System Limited,Renewable Energy (Solar)
WEIZMANIND,Weizmann Limited,Textiles & Financial Services
WEL,Wonder Electricals Limited,Consumer Durables (Fans)
WELCORP,Welspun Corp Limited,Steel Pipes
WELENT,Welspun Enterprises Limited,Infrastructure
WELINV,Welspun Investments and Commercials Limited,Financial Services
WELSPUNLIV,Welspun Living Limited,Textiles (Home Textiles)
WENDT,Wendt (India) Limited,Industrial Engineering
WESTLIFE,WESTLIFE FOODWORLD LIMITED,Quick Service Restaurants (McDonald's)
WEWIN,WE WIN LIMITED,BPO & IT-Enabled Services
WEWORK,WeWork India Management Limited,Real Estate (Co-working spaces)
WHEELS,Wheels India Limited,Auto Components
WHIRLPOOL,Whirlpool of India Limited,Consumer Durables (Appliances)
WILLAMAGOR,Williamson Magor & Company Limited,Financial Services (Holding Co)
WINDLAS,Windlas Biotech Limited,Pharmaceuticals
WINDMACHIN,Windsor Machines Limited,Industrial Machinery
WINSOME,Winsome Yarns Limited,Textiles
WIPL,The Western India Plywoods Limited,Building Materials (Plywood)
WIPRO,Wipro Limited,IT Services
WOCKPHARMA,Wockhardt Limited,Pharmaceuticals
WONDERLA,Wonderla Holidays Limited,Media & Entertainment (Amusement Parks)
WORTHPERI,Worth Peripherals Limited,Paper Packaging
WSI,W S Industries (I) Limited,Electrical Equipment
WSTCSTPAPR,West Coast Paper Mills Limited,Paper & Paper Products
XCHANGING,Xchanging Solutions Limited,IT Services
XELPMOC,Xelpmoc Design And Tech Limited,IT Services
XPROINDIA,Xpro India Limited,Packaging (Polymers)
XTGLOBAL,Xtglobal Infotech Limited,IT Services
YASHO,Yasho Industries Limited,Specialty Chemicals
YATHARTH,Yatharth Hospital & Trauma Care Services Limited,Healthcare
YATRA,Yatra Online Limited,Online Travel Services (OTA)
YESBANK,Yes Bank Limited,Financial Services
YUKEN,Yuken India Limited,Capital Goods
ZAGGLE,Zaggle Prepaid Ocean Services Limited,Financial Services
ZEEL,Zee Entertainment Enterprises Limited,Media & Entertainment
ZEELEARN,Zee Learn Limited,Consumer Services
ZEEMEDIA,Zee Media Corporation Limited,Media & Entertainment
ZENITHEXPO,Zenith Exports Limited,Textiles
ZENITHSTL,Zenith Steel Pipes & Industries Limited,Metals & Mining
ZENSARTECH,Zensar Technologies Limited,Information Technology
ZENTEC,Zen Technologies Limited,Aerospace & Defense
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,Auto Components
ZIMLAB,Zim Laboratories Limited,Healthcare
ZODIAC,Zodiac Energy Limited,Power
ZODIACLOTH,Zodiac Clothing Company Limited,Textiles
ZOTA,Zota Health Care LImited,Healthcare
ZUARI,Zuari Agro Chemicals Limited,Chemicals
ZUARIIND,ZUARI INDUSTRIES LIMITED,Diversified
ZYDUSLIFE,Zydus Lifesciences Limited,Healthcare
ZYDUSWELL,Zydus Wellness Limited,Consumer Staples
